Reference_residue_cont -3.25237e-05
Reference_residue_mom 0.000318024
0.0549872 -2.76916e-05 0.00608752
0.0550515 -2.72012e-05 0.00572309
0.0551147 -2.66876e-05 0.00535634
0.0551767 -2.61466e-05 0.00498731
0.0552374 -2.55803e-05 0.00461607
0.0552968 -2.49861e-05 0.00424267
0.0553549 -2.4362e-05 0.00386717
0.0554115 -2.37176e-05 0.00348965
0.0554665 -2.30226e-05 0.00311012
0.0555201 -2.23508e-05 0.00272875
0.0555717 -2.15389e-05 0.00234542
0.0556223 -2.09628e-05 0.00196059
0.0556699 -1.99888e-05 0.00157354
0.0557186 -2.06748e-05 0.00118592
0.0557566 -2.10005e-05 0.000794339
0.0558203 -2.98824e-05 0.00040863
0.185408 -0.00047754 0.0221496
0.187278 -0.000442309 0.0187988
0.189211 -0.000216982 0.014513
0.189875 -9.98152e-05 0.0105154
0.19015 -7.6122e-05 0.00665682
0.190384 -7.85751e-05 0.00279533
0.190611 -8.86709e-05 -0.00106375
0.190855 -0.000100367 -0.00493145
0.191128 -0.000111165 -0.00881709
0.191427 -0.000122514 -0.0127264
0.191762 -0.000137974 -0.0166613
0.192135 -0.000156482 -0.0206269
0.192566 -0.000180223 -0.024627
0.193054 -0.000206514 -0.0286708
0.193626 -0.000240024 -0.0327625
0.194274 -0.000276683 -0.0369151
0.195047 -0.000324995 -0.041133
0.195922 -0.000377117 -0.0454367
0.196984 -0.000448195 -0.0498299
0.198182 -0.000523249 -0.0543471
0.199674 -0.000630937 -0.0589881
0.201336 -0.00074297 -0.0638146
0.203495 -0.000916531 -0.068813
0.205848 -0.00109868 -0.074106
0.209144 -0.00141259 -0.0796404
0.212601 -0.00177423 -0.0856935
0.218195 -0.00250056 -0.0921018
0.223628 -0.00396716 -0.0995881
0.236849 -0.00872597 -0.10709
0.227921 -0.0221677 -0.115843
0.188816 -0.0337485 -0.119222
0.13189 -0.0363402 -0.116499
0.0667552 -0.0236923 -0.109015
0.0201187 -0.0054453 -0.0966974
-0.00127499 0.0045571 -0.0860943
-0.00915732 0.00931189 -0.079448
-0.0138952 0.0123653 -0.074206
-0.0163912 0.0139178 -0.0702777
-0.0177923 0.0148021 -0.067201
-0.0185525 0.0152762 -0.0647547
-0.0189602 0.0155561 -0.0627725
-0.0192063 0.0157566 -0.061128
-0.0193868 0.0158928 -0.0597221
-0.0195094 0.0158782 -0.0584826
-0.0194277 0.0154746 -0.0573461
-0.018467 0.0140021 -0.0562235
-0.017778 0.0115367 -0.0555146
-0.0184627 0.00917085 -0.055119
-0.0200607 0.0070799 -0.0547986
-0.0221876 0.00521133 -0.054538
-0.0255155 0.00372936 -0.054336
-0.0294291 0.00290638 -0.053888
-0.0326666 0.00243735 -0.0533812
-0.0354931 0.00212412 -0.0527907
-0.0380143 0.00189921 -0.0521152
-0.0402765 0.00172312 -0.0513631
-0.0423213 0.0015731 -0.0505378
-0.0441727 0.00143826 -0.0496414
-0.0458457 0.00131252 -0.0486757
-0.0473495 0.00119226 -0.0476425
-0.0486902 0.00107518 -0.0465435
-0.0498716 0.000959689 -0.0453803
-0.0508954 0.000843955 -0.0441542
-0.0517621 0.000727874 -0.0428674
-0.052472 0.000611097 -0.041522
-0.0530247 0.000493261 -0.0401199
-0.053419 0.000374574 -0.0386633
-0.0536533 0.000254815 -0.0371547
-0.053726 0.000133592 -0.035597
-0.0536357 1.1066e-05 -0.0339931
-0.0533815 -0.000112199 -0.0323467
-0.0529622 -0.000236676 -0.0306608
-0.0523765 -0.000362408 -0.0289388
-0.0516236 -0.000489158 -0.0271847
-0.0507034 -0.000616587 -0.0254025
-0.0496159 -0.000744284 -0.0235966
-0.0483619 -0.000871771 -0.0217715
-0.0469431 -0.000998494 -0.0199319
-0.0453616 -0.00112415 -0.0180827
-0.0436189 -0.00124792 -0.0162285
-0.0417178 -0.00136913 -0.0143749
-0.039665 -0.00148711 -0.0125277
-0.0374673 -0.00160105 -0.0106917
-0.0351305 -0.00171016 -0.00887229
-0.0326621 -0.00181377 -0.00707459
-0.0300698 -0.00191122 -0.0053037
-0.0273624 -0.00200207 -0.00356461
-0.024549 -0.00208574 -0.00186192
-0.0216393 -0.00216175 -0.000200121
-0.0186435 -0.00222969 0.0014166
-0.0155721 -0.00228922 0.00298436
-0.012436 -0.00234007 0.0044996
-0.00924631 -0.00238207 0.00595916
-0.00601426 -0.00241511 0.00736025
-0.00275107 -0.00243917 0.00870047
0.000532108 -0.0024543 0.00997788
0.00382426 -0.00246065 0.0111909
0.00711463 -0.00245845 0.0123385
0.0103928 -0.00244799 0.0134198
0.0136487 -0.00242963 0.0144346
0.0168729 -0.00240377 0.0153829
0.0200564 -0.00237087 0.0162653
0.0231907 -0.00233142 0.0170824
0.0262681 -0.00228597 0.0178354
0.0292815 -0.00223507 0.0185256
0.0322245 -0.00217929 0.0191548
0.0350913 -0.00211921 0.0197246
0.0378771 -0.00205543 0.0202372
0.0405774 -0.00198852 0.0206949
0.0431888 -0.00191906 0.0210998
0.0457083 -0.00184759 0.0214545
0.0481337 -0.00177464 0.0217614
0.0504634 -0.00170072 0.0220231
0.0526964 -0.0016263 0.0222421
0.0548322 -0.00155181 0.022421
0.056871 -0.00147762 0.0225623
0.0588132 -0.00140413 0.0226684
0.0606601 -0.00133194 0.0227419
0.0624112 -0.00126237 0.0227849
0.0640627 -0.00119305 0.0228002
0.0656221 -0.00112554 0.0227922
0.0671043 -0.00106135 0.0227599
0.0685078 -0.000997754 0.0227032
0.0698279 -0.000936248 0.0226262
0.0710679 -0.000877572 0.0225307
0.0722319 -0.000821596 0.0224183
0.0733228 -0.000768242 0.0222905
0.074344 -0.000717532 0.0221487
0.0752989 -0.000669473 0.0219942
0.0761908 -0.000624043 0.0218281
0.0770231 -0.000581208 0.0216516
0.077799 -0.000540923 0.0214656
0.0785219 -0.00050313 0.0212711
0.0791949 -0.000467759 0.0210689
0.0798212 -0.000434736 0.0208596
0.0804037 -0.000403976 0.0206439
0.0809455 -0.00037539 0.0204224
0.0814493 -0.000348886 0.0201956
0.0819178 -0.000324368 0.0199639
0.0823536 -0.000301737 0.0197277
0.0827591 -0.000280894 0.0194874
0.0831367 -0.000261741 0.0192432
0.0834886 -0.000244179 0.0189955
0.0838169 -0.000228111 0.0187443
0.0841235 -0.000213443 0.01849
0.0844102 -0.000200082 0.0182326
0.0846789 -0.000187939 0.0179722
0.0849311 -0.000176926 0.017709
0.0851684 -0.000166962 0.0174431
0.085392 -0.000157968 0.0171744
0.0856033 -0.00014987 0.0169031
0.0858035 -0.000142591 0.0166291
0.0859937 -0.000136058 0.0163525
0.0861749 -0.000130207 0.0160733
0.086348 -0.000124978 0.0157916
0.0865138 -0.000120311 0.0155071
0.0866731 -0.000116152 0.0152201
0.0868267 -0.000112451 0.0149305
0.0869751 -0.000109162 0.0146382
0.0871188 -0.000106239 0.0143432
0.0872585 -0.000103641 0.0140456
0.0873945 -0.000101331 0.0137453
0.0875272 -9.92753e-05 0.0134422
0.0876571 -9.74444e-05 0.0131365
0.0877844 -9.58104e-05 0.012828
0.0879093 -9.43402e-05 0.0125167
0.0880322 -9.30031e-05 0.0122027
0.0881532 -9.17763e-05 0.0118859
0.0882725 -9.06416e-05 0.0115663
0.0883901 -8.95821e-05 0.011244
0.0885064 -8.85818e-05 0.0109188
0.0886212 -8.76262e-05 0.0105909
0.0887347 -8.67027e-05 0.0102603
0.088847 -8.57991e-05 0.00992684
0.0889581 -8.49039e-05 0.00959068
0.0890679 -8.40069e-05 0.00925181
0.0891766 -8.30992e-05 0.00891025
0.0892841 -8.21721e-05 0.00856601
0.0893903 -8.12188e-05 0.00821913
0.0894953 -8.02323e-05 0.00786963
0.089599 -7.92074e-05 0.00751756
0.0897014 -7.81379e-05 0.00716294
0.0898025 -7.70204e-05 0.00680581
0.089902 -7.58486e-05 0.00644622
0.0900001 -7.46212e-05 0.00608421
0.0900965 -7.33305e-05 0.00571984
0.0901913 -7.19779e-05 0.00535314
0.0902844 -7.05534e-05 0.00498417
0.0903756 -6.90615e-05 0.00461299
0.0904649 -6.7493e-05 0.00423965
0.0905521 -6.58494e-05 0.00386421
0.0906372 -6.4136e-05 0.00348676
0.09072 -6.23202e-05 0.0031073
0.0908008 -6.04932e-05 0.00272602
0.0908785 -5.84478e-05 0.00234275
0.0909548 -5.66859e-05 0.00195804
0.0910264 -5.44277e-05 0.00157097
0.0911 -5.43542e-05 0.00118368
0.0911559 -5.41534e-05 0.000791976
0.0912453 -6.25463e-05 0.000407993
0.255478 -0.00045049 0.0222051
0.256907 -0.000705277 0.0188197
0.259017 -0.000491166 0.0144858
0.259902 -0.000245763 0.0104877
0.260309 -0.000167618 0.00664253
0.260635 -0.000157333 0.00278705
0.260945 -0.000170237 -0.00107049
0.261267 -0.000188514 -0.00493788
0.26162 -0.00020737 -0.00882378
0.262004 -0.000228358 -0.0127336
0.262433 -0.00025638 -0.0166689
0.262908 -0.000290209 -0.0206351
0.263456 -0.000333061 -0.024636
0.264074 -0.000381653 -0.028681
0.264799 -0.000442346 -0.0327738
0.265617 -0.000510418 -0.0369282
0.266593 -0.000597469 -0.0411476
0.267692 -0.000694475 -0.0454538
0.269033 -0.000821555 -0.0498489
0.270531 -0.000961716 -0.0543699
0.272411 -0.00115191 -0.0590129
0.274477 -0.00136178 -0.0638446
0.277191 -0.00166223 -0.0688443
0.280084 -0.00200337 -0.0741444
0.284211 -0.0025296 -0.0796767
0.288365 -0.00319367 -0.0857383
0.295287 -0.00430983 -0.0921226
0.301226 -0.00662574 -0.0995198
0.31623 -0.0119951 -0.106625
0.307336 -0.0258788 -0.114353
0.264314 -0.0393611 -0.117485
0.197595 -0.0451212 -0.115117
0.113633 -0.0339987 -0.108658
0.0464748 -0.0127646 -0.0973096
0.0110403 0.00113202 -0.0868165
