Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000300734
-0.0332851 0.000843982 -0.0436815
-0.0343882 0.000826029 -0.0435203
-0.0354671 0.000809533 -0.0433497
-0.0365242 0.000795159 -0.0431698
-0.0375628 0.000783445 -0.0429806
-0.0385871 0.000775376 -0.0427824
-0.0396022 0.000771556 -0.042575
-0.0406139 0.000773036 -0.0423587
-0.0416289 0.000780074 -0.0421331
-0.0426539 0.000793298 -0.0418982
-0.0436956 0.000811788 -0.0416535
-0.0447587 0.000834843 -0.0413986
-0.0458455 0.00085893 -0.0411326
-0.0469532 0.000880625 -0.0408546
-0.0480723 0.000890995 -0.0405633
-0.0491807 0.000880422 -0.0402576
-0.0502469 0.000828282 -0.0399366
-0.0512033 0.000713356 -0.0395976
-0.0519897 0.000477661 -0.039247
-0.0523619 7.41262e-05 -0.0388621
-0.052571 -0.000721217 -0.0385484
-0.0511521 -0.00177132 -0.03801
-0.0518793 -0.00388838 -0.0380731
-0.0565464 -0.00453783 -0.037599
-0.0589976 -0.00520928 -0.0373685
-0.0623072 -0.00570511 -0.0369487
-0.0650185 -0.00613636 -0.0365302
-0.0678705 -0.00656493 -0.0360301
-0.07054 -0.00696234 -0.0354821
-0.0731725 -0.00736102 -0.0348653
-0.075683 -0.00774879 -0.0341844
-0.0780936 -0.00813597 -0.033431
-0.0803659 -0.00851779 -0.0326032
-0.0824887 -0.0088968 -0.0316957
-0.084432 -0.00927014 -0.0307051
-0.0861729 -0.00963716 -0.0296271
-0.0876814 -0.00999497 -0.0284585
-0.0889299 -0.0103411 -0.027196
-0.0898879 -0.0106722 -0.0258375
-0.0905264 -0.0109845 -0.0243813
-0.0908161 -0.0112737 -0.0228269
-0.0907294 -0.0115355 -0.0211747
-0.0902399 -0.0117649 -0.0194266
-0.0893241 -0.0119572 -0.0175857
-0.0879609 -0.0121071 -0.0156569
-0.0861326 -0.01221 -0.0136462
-0.0838254 -0.0122606 -0.0115616
-0.0810291 -0.0122548 -0.00941272
-0.077738 -0.0121877 -0.00721073
-0.0739512 -0.0120555 -0.00496828
-0.0696717 -0.0118533 -0.00269967
-0.0649043 -0.0115765 -0.000419317
-0.0596656 -0.0112222 0.00185483
-0.0539838 -0.0107935 0.00410506
-0.0478872 -0.0102868 0.00631313
-0.0414029 -0.0097057 0.00846208
-0.0345678 -0.00904748 0.0105327
-0.0274151 -0.00832116 0.0125098
-0.0199866 -0.00752546 0.014376
