Reference_residue_cont 1e-30
Reference_residue_mom 0.00019802
-0.0254491 -0.0113833 0.0292755
-0.0198482 -0.0107666 0.0291175
-0.0145314 -0.0100307 0.0289174
-0.0095527 -0.00919163 0.0286817
-0.00495908 -0.00826803 0.0284178
-0.000790464 -0.00728068 0.0281329
0.0029219 -0.00625148 0.0278347
0.00615443 -0.00520245 0.0275298
0.0088925 -0.00415516 0.0272253
0.011134 -0.00312999 0.0269274
0.0128853 -0.00214547 0.0266404
0.0141604 -0.00121814 0.0263689
0.0149818 -0.000361783 0.0261159
0.0153781 0.000412708 0.0258837
0.0153839 0.00109918 0.0256737
0.0150383 0.00169384 0.0254864
0.0143836 0.00219551 0.0253218
0.0134635 0.0026051 0.0251791
0.0123231 0.0029239 0.0250579
0.0110092 0.0031534 0.0249572
0.00956886 0.00329287 0.0248756
0.00804948 0.00333934 0.024812
0.00650075 0.00328589 0.0247654
0.00497274 0.0031213 0.0247342
0.00352923 0.00282995 0.02472
0.00221362 0.00239898 0.0247149
0.0011282 0.00181525 0.0247364
0.000229197 0.00111607 0.0247355
-0.00010453 0.000303132 0.024846
5.20517e-05 -0.000422828 0.0275648
0.000305388 -0.0010555 0.0275937
0.000737897 -0.00146735 0.0275949
0.00122498 -0.00167596 0.0275906
0.00172213 -0.00170689 0.0275729
0.00216924 -0.00159209 0.0275453
0.00252692 -0.00136258 0.0275079
0.00276234 -0.00104685 0.0274616
0.00285014 -0.000669374 0.0274071
0.00277132 -0.000250251 0.0273453
0.00251195 0.00019499 0.0272767
0.00206199 0.000655202 0.027202
0.00141424 0.00112326 0.0271215
0.000563177 0.00159542 0.0270355
-0.000495921 0.0020709 0.0269439
-0.00176767 0.00255108 0.0268466
-0.00325712 0.00303883 0.0267435
-0.00496997 0.00353786 0.0266343
-0.00691267 0.00405192 0.0265185
-0.00909222 0.00458451 0.0263958
-0.0115158 0.00513816 0.0262659
-0.0141902 0.00571424 0.0261285
-0.0171217 0.00631264 0.0259833
-0.020315 0.00693154 0.02583
-0.0237727 0.0075675 0.0256687
-0.0274948 0.00821561 0.0254995
-0.0314778 0.00886959 0.0253226
-0.0357146 0.00952176 0.0251385
-0.040194 0.0101638 0.0249479
-0.0449005 0.0107856 0.0247517
-0.0498133 0.0113765 0.024551
-0.0549079 0.0119242 0.0243466
-0.060156 0.0124175 0.0241403
-0.0655238 0.0128452 0.0239343
-0.0709739 0.0131952 0.023731
-0.0764634 0.0134545 0.0235338
-0.0819471 0.0136135 0.023345
-0.087379 0.013663 0.0231679
-0.0927112 0.0135951 0.0230055
-0.0978933 0.013404 0.0228622
-0.102875 0.0130831 0.0227411
-0.10761 0.0126282 0.0226455
-0.112049 0.0120377 0.0225794
-0.116143 0.011306 0.0225483
-0.119851 0.0104354 0.0225523
-0.123142 0.00943995 0.0225916
-0.125978 0.00832498 0.0226712
-0.128325 0.00709398 0.0227922
-0.130154 0.00575472 0.0229557
-0.131443 0.00431734 0.0231615
-0.132171 0.00279434 0.0234088
-0.132324 0.00119949 0.0236958
-0.131892 -0.000451991 0.0240197
-0.130868 -0.00214395 0.0243768
-0.129254 -0.00385875 0.0247625
-0.127053 -0.00557761 0.0251711
-0.124275 -0.00728079 0.0255963
-0.120936 -0.00894753 0.0260315
-0.117052 -0.0105579 0.0264693
-0.112651 -0.0120903 0.026901
-0.107764 -0.0135219 0.0273184
-0.102428 -0.0148311 0.0277133
-0.0966849 -0.0159971 0.0280777
-0.0905818 -0.0170007 0.0284044
-0.0841706 -0.0178242 0.0286868
-0.0775087 -0.0184519 0.0289192
-0.0706567 -0.0188712 0.0290974
-0.0636766 -0.0190727 0.0292196
-0.0566474 -0.0190495 0.0292792
-0.0496404 -0.0187949 0.0292823
-0.0427038 -0.0183198 0.029233
-0.0359106 -0.0176389 0.0291285
-0.0293393 -0.0167614 0.0289762
-0.0230525 -0.0157051 0.0287813
-0.0171115 -0.0144913 0.0285506
-0.0115712 -0.0131453 0.0282914
-0.00648018 -0.0116955 0.0280113
-0.00187813 -0.0101723 0.0277181
0.00220277 -0.00860717 0.0274187
0.00573954 -0.00703142 0.0271201
0.00872224 -0.00547549 0.0268286
0.0111503 -0.00396783 0.0265488
0.0130317 -0.00253388 0.0262849
0.0143845 -0.00119523 0.0260401
0.0152345 3.06453e-05 0.0258163
0.0156152 0.00113105 0.0256147
0.0155663 0.00209734 0.0254359
0.0151323 0.00292466 0.0252796
0.0143616 0.00361104 0.025145
0.0133051 0.00415688 0.025031
0.0120154 0.00456253 0.0249362
0.0105468 0.00482644 0.0248596
0.00895559 0.00494422 0.0247999
0.00729994 0.00490691 0.024756
0.00563804 0.00470036 0.0247266
0.00404315 0.00430559 0.0247137
0.00256479 0.00370521 0.0247088
0.0013247 0.00288093 0.0247337
0.000273691 0.00185241 0.024731
-0.00012296 0.000619752 0.0248608
5.17169e-05 -0.000586705 0.0275932
0.000298696 -0.00141052 0.0276211
0.000709821 -0.00192051 0.0276211
0.00115454 -0.00215236 0.0276155
0.00158416 -0.00214851 0.0275965
